trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.999999}",25,0,-194.62785239969074,"{0: 9, 1: 5, 2: 8, 3: 1, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.999996}",20,0,-175.7354499268123,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.1, 'e': 0.999991}",30,0,-112.398496335494,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.999984}",25,0,-134.45662489907744,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.999975}",30,0,-147.20416666050195,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.1, 'e': 0.999964}",30,0,-180.21325366136662,"{0: 14, 1: 7, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.999951}",20,0,-103.11385528690565,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.999936}",20,8,-68.28871353114094,"{0: 5, 1: 1, 2: 5, 3: 1, 4: 0}",1
9,False,"{'a': 0.1, 'e': 0.999919}",35,17,-132.87278961382626,"{0: 7, 1: 1, 2: 8, 3: 1, 4: 1}",1
10,False,"{'a': 0.1, 'e': 0.9999}",25,0,-116.7884511113664,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.1, 'e': 0.999879}",20,0,-49.224537857595834,"{0: 13, 1: 5, 2: 0, 3: 2, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.999856}",30,0,-148.66412773303693,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.999831}",20,0,-27.841915838322745,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.1, 'e': 0.999804}",20,0,-111.2334010913908,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.999775}",20,0,-246.15039292451445,"{0: 7, 1: 5, 2: 3, 3: 0, 4: 5}",0
16,False,"{'a': 0.1, 'e': 0.999744}",25,0,-254.4011724245448,"{0: 9, 1: 4, 2: 7, 3: 1, 4: 4}",0
