trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-272.0715839792253,"{0: 10, 1: 3, 2: 11, 3: 4, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.4810955297052,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.5700224154853,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.40151561717357,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-209.77861872922202,"{0: 15, 1: 3, 2: 7, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.5599943251238,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.7995339576894,"{0: 15, 1: 1, 2: 3, 3: 3, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,8,-123.12482996323915,"{0: 8, 1: 5, 2: 1, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-234.44430209619807,"{0: 17, 1: 7, 2: 6, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.46875271888152,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.85626732940514,"{0: 10, 1: 2, 2: 5, 3: 3, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.9810125176263,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.83381780095634,"{0: 11, 1: 6, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-140.849614822545,"{0: 17, 1: 2, 2: 7, 3: 4, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-37.85587926146127,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.41176162017737,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.96557198975952,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.8403884792474,"{0: 12, 1: 1, 2: 9, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.426372252069125,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-188.49503304876015,"{0: 5, 1: 6, 2: 6, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-108.26386165515049,"{0: 12, 1: 9, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-173.3598436524549,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.554646982328194,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-205.47809938015422,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-119.25426880431932,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,7,-38.1827266376992,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,5,-55.43595765965663,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.36148696153975,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-136.51377530127908,"{0: 12, 1: 6, 2: 4, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,7,-40.29477890341591,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
